-- Step 1: Use the Database
USE TechHealthDb;
GO
-- Step 2: Insert Data into Devices Table
INSERT INTO [dbo].[Devices] (device_id, user_id, device_type, purchase_date, last_sync_date,
                         firmware_version, battery_life_days, sync_frequency_daily,
                         active_hours_daily, total_steps_recorded, total_workouts_recorded,
                         sleep_tracking_enabled, heart_rate_monitoring_enabled, gps_enabled,
                         notification_enabled, device_status)
VALUES
('DEV001', 'TH001', 'HealthTrack Pro', '2022-01-15', '2023-06-15', 'v3.2.1', 5.2, 24, 16.5, 2345678, 156, 1, 1, 1, 1, 'Active'),
('DEV002', 'TH002', 'HealthTrack Lite', '2021-11-30', '2023-06-15', 'v3.1.0', 7.0, 12, 12.8, 1234567, 89, 1, 1, 0, 1, 'Active'),
('DEV003', 'TH003', 'HealthTrack Pro', '2022-03-22', '2023-06-15', 'v3.2.1', 4.8, 24, 18.2, 1876543, 201, 1, 1, 1, 1, 'Active'),
('DEV004', 'TH004', 'HealthTrack Elite', '2021-08-15', '2023-06-15', 'v3.2.1', 4.5, 48, 14.7, 3456789, 312, 1, 1, 1, 1, 'Active'),
('DEV005', 'TH005', 'HealthTrack Pro', '2022-02-28', '2023-06-15', 'v3.2.1', 5.0, 24, 15.9, 2123456, 178, 1, 1, 1, 1, 'Active'),
('DEV006', 'TH006', 'HealthTrack Elite', '2021-12-05', '2023-06-15', 'v3.2.1', 4.6, 48, 13.5, 4567890, 245, 1, 1, 1, 1, 'Active'),
('DEV007', 'TH007', 'HealthTrack Lite', '2022-04-10', '2023-06-15', 'v3.1.0', 6.8, 12, 11.2, 987654, 67, 1, 1, 0, 1, 'Active'),
('DEV008', 'TH008', 'HealthTrack Pro', '2022-01-20', '2023-06-15', 'v3.2.1', 5.1, 24, 17.3, 2789012, 198, 1, 1, 1, 1, 'Active'),
('DEV009', 'TH009', 'HealthTrack Lite', '2022-05-15', '2023-06-14', 'v3.1.0', 7.2, 12, 10.5, 654321, 45, 1, 1, 0, 1, 'Inactive'),
('DEV010', 'TH010', 'HealthTrack Elite', '2021-09-30', '2023-06-15', 'v3.2.1', 4.4, 48, 16.8, 3901234, 289, 1, 1, 1, 1, 'Active'),
('DEV011', 'TH011', 'HealthTrack Pro', '2022-03-01', '2023-06-15', 'v3.2.1', 5.3, 24, 15.4, 2345678, 167, 1, 1, 1, 1, 'Active'),
('DEV012', 'TH012', 'HealthTrack Lite', '2021-10-15', '2023-06-15', 'v3.1.0', 6.9, 12, 11.8, 1123456, 78, 1, 1, 0, 1, 'Active'),
('DEV013', 'TH013', 'HealthTrack Pro', '2022-02-14', '2023-06-15', 'v3.2.1', 4.9, 24, 16.7, 2567890, 187, 1, 1, 1, 1, 'Active'),
('DEV014', 'TH014', 'HealthTrack Elite', '2021-11-01', '2023-06-15', 'v3.2.1', 4.7, 48, 15.2, 4123456, 298, 1, 1, 1, 1, 'Active'),
('DEV015', 'TH015', 'HealthTrack Lite', '2022-06-01', '2023-06-13', 'v3.1.0', 7.1, 12, 9.8, 456789, 34, 1, 1, 0, 1, 'Inactive'),
('DEV016', 'TH016', 'HealthTrack Pro', '2022-01-05', '2023-06-15', 'v3.2.1', 5.0, 24, 16.1, 2234567, 165, 1, 1, 1, 1, 'Active'),
('DEV017', 'TH017', 'HealthTrack Lite', '2022-04-22', '2023-06-15', 'v3.1.0', 6.7, 12, 11.5, 876543, 56, 1, 1, 0, 1, 'Active'),
('DEV018', 'TH018', 'HealthTrack Pro', '2021-12-15', '2023-06-15', 'v3.2.1', 5.2, 24, 17.8, 2901234, 211, 1, 1, 1, 1, 'Active'),
